NbaTeam,City,Wins,Losses,Championchips,PG,SG,SF,PF,C
Celtics, Boston, 64, 18, 17, Jrue Holiday, Derrick White, Jaylen Brown, Jayson Tatum, Kristaps Porzingis
Knicks, New York City, 50, 32, 2, Jalen Brunson, Donte DiVincenzo, Josh Hart, OG Anunoby, Isaiah Haretenstein
Bucks, Milwaukee, 49, 33, 2, Damien Lillard, Patrick Beverly, Khris Middleton, Giannis Antetokounmpo, Brook Lopez
Cavaliers, Clevland, 48, 34, 1, Darius Garland, Donovan Mitchell, Max Strus, Evan Mobley, Jarret Allen
Magic, Orlando, 47, 35, 0, Jalen Suggs, Gary Harris, Franz Wagner, Paolo Banchero, Wendell Carter Jr.
Pacers, Indiana, 47, 35, 0, Tyrese Haliburton, Andrew Nembhard, Aaron Nesmith, Pascal Siakam, Myles Turner
76ers, Philadephia, 47, 35, 3, Tyrese Maxey, Kyle Lowry, Kelly Oubre Jr., Tobias Harris, Joel Embiid
Heat, Miami, 46, 36, 3, Terry Rozier, Tyler Herro, Jimmy Butler, Nikola Jovic, Bam Adebayo
Bulls, Chicago, 39, 43, 6, Coby White, Zach LaVine, Alex Caruso, DeMar DeRozan, Nikola Vucevic
Hawks, Atlanta, 36, 46, 1, Trae Young, Dejounte Murray, Bogdan Bogdanovic, Jalen Johnson, Clint Capela
Nets, Brooklyn, 32, 50, 0, Dennis Schroder, Cam Thomas, Mikal Bridges, Dorian Finney-Smith, Nic Claxton
Raptors, Toronto, 25, 57, 1, Immanuel Quickley, Gary Trent Jr., RJ Barrett, Scottie Barnes, Jakob Poeltl
Hornets, Charlotte, 21, 61, 0, LaMelo Ball, Cody Martin, Brandon Miller, Miles Bridges, Mark Williams
Wizards, Washington, 15, 67, 1, Tyus Jones, Bilal Coulibaly, Deni Avdija, Kyle Kuzma, Marvin Bagley III 
Pistons, Detroit, 14, 68, 3, Cade Cunningham, Jaden Ivey, Ausar Thompson, Simone Fontecchio, Jalen Duren
Thunder, Oklahoma City, 57, 25, 1, Shai Gilgeous-Alexander, Josh Giddey, Luguentz Dort, Jalen Williams, Chet Holmgren 
Nuggets, Denver, 57, 25, 1, Jamal Murray, Kentavious Caldwell-Pope, Michael Porter Jr., Aaron Gordon, Nikola Jokic
Timberwolves, Minnestoa, 56, 26, 0, Mike Conley, Anthony Edwards, Jaden McDaniels, Karl-Anthony Towns, Rudy Gobert 
Clippers, Los Angeles, 51, 31, 0, James Harden, Terance Mann, Paul George, Kawhi Leonard, Ivica Zubac  
Mavericks, Dallas, 50, 32, 1, Luka Doncic, Kyrie Irving, Derrick Jones Jr., P.J. Washington, Daniel Gafford
Suns, Phoenix, 49, 33, 0, Devin Booker, Bradley Beal, Grayson Allen, Kevin Durant, Jusuf Nurkic
Pelicans, New Orleans, 49, 33, 0, CJ McCollum, Brandon Ingram, Herbert Jones, Zion Williamson, Jonas Valanciunas
Lakers, Los Angeles, 47, 35, 17, D'Angelo Russell, Austin Reaves, LeBron James, Rui Hachimura, Anthony Davis
Kings, Sacramento, 46, 36, 1, De'Aaron Fox, Kevin Huerter, Harrison Barnes, Keegan Murray, Domantas Sabonis 
Warriors, San Francisco, 46, 36, 7, Stephen Curry, Klay Thompson, Andrew Wiggins, Draymond Green, Trayce Jackson-Davis 
Rockets, Houston, 41, 41, 2, Fred VanVleet, Jalen Green, Dillon Brooks, Jabari Smith Jr., Alperen Sengun
Jazz, Utah, 31, 51, 2, Keyonte George, Collin Sexton, Lauri Markkanen , Taylor Hendricks, John Collins   
Grizzlies, Memphis, 27, 55, 0, Ja Morant, Marcus Smart, Desmond Bane, Vince Williams Jr., Jaren Jackson Jr. 
Spurs, San Antonio, 22, 60, 5, Tre Jones, Devin Vassell, Julian Champagnie, Jeremy Sochan , Victor Wembanyama 
Trail Blazers, Portland, 21, 61, 1, Scoot Henderson, Anfernee Simons, Shaedon Sharpe, Jerami Grant , Deandre Ayton
